 iteration                    x                 g(x)       relative error
         0             0.000000            -1.500000             1.000000
         1            -1.500000            -0.857140             0.750006
         2            -0.857140            -1.050000             0.183676
         3            -1.050000            -0.983610             0.067496
         4            -0.983610            -1.005500             0.021770
         5            -1.005500            -0.998170             0.007343
         6            -0.998170            -1.000600             0.002429
         7            -1.000600            -0.999800             0.000800
         8            -0.999800            -1.000100             0.000300
         9            -1.000100            -0.999970             0.000130
        10            -0.999970            -1.000000             0.000030
